Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
09/13/2022 12:00:00 PM,09/13/2022 12:15:00 PM,Brooklyn,Prospect Park,Prospect Park Lake near Ocean Ave. entrance,Canada Goose,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Birds,311-11742942,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/14/2022 10:30:00 AM,09/14/2022 11:15:00 AM,Staten Island,Lemon Creek Park,Tidal pool,Groundhog,Employee,Native,DOA,1.5,Adult,Small Mammals-non RVS,311-11756897,Relocated/Condition Corrected,1,false,false,,,false,false,
09/14/2022 10:30:00 AM,09/14/2022 12:00:00 AM,Bronx,Daniel Boone Playground,Playground,Dog,Public,Domestic,Healthy,1.5,Juvenile,Domestic,311-11755772,ACC,1,false,false,,,false,false,153438
09/14/2022 10:30:00 AM,09/14/2022 10:45:00 AM,Brooklyn,Prospect Park,Lakeside,Eastern Gray Squirrel,Employee,Native,Injured,2,Juvenile,Small Mammals-non RVS,311-11756716,Rehabilitator,1,false,false,Kris Bevilacqua,,false,false,
09/14/2022 11:00:00 AM,09/14/2022 11:10:00 AM,Manhattan,Frederick Johnson Playground,151 Street and Adam Clayton Powell Jr Blvd at the tennis courts,Cat,Central,Domestic,Healthy,1,Adult,Domestic,311-11755823,ACC,1,false,false,,,false,false,153437
09/14/2022 12:00:00 PM,09/14/2022 12:15:00 PM,Queens,Beach Channel Playground,Between fence line and parked cars,Yellow-crowned night heron,Central,Native,Healthy,0.25,Juvenile,Birds,,Advised/Educated others,1,false,false,,,false,false,
09/14/2022 02:00:00 PM,09/14/2022 02:30:00 PM,Manhattan,Central Park,North of Volleyball Courts on Dead Road,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/14/2022 05:36:00 PM,09/14/2022 05:42:00 PM,Queens,Forest Park,Oak Ridge,Chicken,Employee,Domestic,Injured,1,Adult,"Domestic, Birds",,ACC,1,false,false,,,false,false,153493
09/15/2022 08:20:00 AM,09/15/2022 09:00:00 AM,Queens,Astoria Park,Tree at the base of the Hellgate Bridge,Eastern Gray Squirrel,Public,Native,DOA,1,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/15/2022 10:30:00 AM,09/15/2022 10:40:00 AM,Manhattan,Riverside Park,91st entrance near Hippo Playground,Eastern Coyote,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Juvenile,Coyotes,,Unfounded,0,false,false,,,false,false,
09/15/2022 11:30:00 AM,09/15/2022 11:35:00 AM,Manhattan,J. Hood Wright Park,174th St and Fort Washington Ave,Dog,Observed by Ranger,Domestic,Healthy,1.5,Adult,Domestic,311-11771880,ACC,1,false,false,,,false,false,153549
09/15/2022 11:30:00 AM,09/15/2022 11:30:00 AM,Bronx,Van Cortlandt Park,Tennis court near Indian Field,Dog,Central,Domestic,N/A,0.5,Adult,Domestic,,Advised/Educated others,0,false,false,,,true,false,
09/15/2022 02:15:00 PM,09/15/2022 02:30:00 PM,Bronx,Soundview Park,Near Athletic Field,Dog,Central,Domestic,N/A,2,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
09/15/2022 05:05:00 PM,09/15/2022 05:05:00 PM,Manhattan,Central Park,Conservatory Garden north west entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.25,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/16/2022 12:00:00 PM,09/16/2022 12:30:00 PM,Brooklyn,Prospect Park,"Ocean Ave and Parkside, 40.657203, -73.962248",Raccoon,Central,Native,Unhealthy,2,Adult,Small Mammals-RVS,311-11787719,ACC,1,false,false,,,false,false,153664
09/16/2022 01:00:00 PM,09/16/2022 01:27:00 PM,Queens,Alley Pond Park,Near Golf Course,Raccoon,Public,Native,Healthy,0.5,"Adult, Juvenile",Small Mammals-RVS,,Advised/Educated others,1,false,false,,,false,false,
09/16/2022 01:00:00 PM,09/16/2022 01:00:00 PM,Brooklyn,Forth Greene Park,Fort Greene Park Myrtle Side,Eastern Gray Squirrel,Public,Native,Unhealthy,0.5,Adult,Small Mammals-non RVS,311-11786379,Rehabilitator,1,false,false,Kris Bevilacqua WL License %231742,,false,false,
09/16/2022 01:15:00 PM,09/16/2022 01:30:00 PM,Queens,Kissena Park,path near the boathouse,Rock Dove,Observed by Ranger,Native,Unhealthy,4.5,Adult,Birds,311-11788362,Rehabilitator,1,false,true,Wild Bird Fund,0.25,false,false,
09/16/2022 01:40:00 PM,09/16/2022 01:50:00 PM,Queens,Rockaway Beach and Boardwalk,Sidewalk between property and parked vehicles,Herring Gull,Public,Native,Injured,4,Juvenile,Birds,,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/16/2022 02:10:00 PM,09/16/2022 02:10:00 PM,Staten Island,Wolfe's Pond Park,Wolfe's Pond,Mallard Duck,Employee,Native,Injured,0.5,Adult,Birds,,Monitored Animal,1,false,false,,,false,false,
09/16/2022 04:45:00 PM,09/16/2022 05:00:00 PM,Manhattan,Tompkins Square Park,Avenue B Handball Courts,Sharp-shinned Hawk,Public,Native,Injured,3.5,Juvenile,Raptors,311-11789085,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/16/2022 06:00:00 PM,09/17/2022 09:00:00 AM,Brooklyn,Marine Park,Ave U and Burnett Beach,Herring Gull,WBF,Native,Healthy,2.5,Juvenile,Birds,,Released back into Park after Rehabilitation,1,false,false,,,false,false,
09/17/2022 08:30:00 AM,09/17/2022 09:10:00 AM,Brooklyn,Prospect Park,"Well House Drive and West Drive 40.6546343, -73.9722729",Raccoon,Central,Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,311-11797645,ACC,1,false,false,,,true,false,153730
09/17/2022 12:00:00 PM,09/17/2022 12:00:00 PM,Bronx,Pelham Bay Park,Entrance to Park near Landfill,Cat,Public,Domestic,Unhealthy,1.75,Juvenile,Domestic,311-1179987761,ACC,1,false,false,,,false,false,213961
09/17/2022 02:30:00 PM,09/17/2022 03:00:00 PM,Brooklyn,Prospect Park,"Imagination Playground , 40.658821, -73.962879",Raccoon,Public,Native,Unhealthy,3,Adult,Small Mammals-RVS,311-11802105,ACC,1,false,false,,,false,false,153805
09/18/2022 10:30:00 AM,09/18/2022 01:44:00 PM,Queens,Gorman Playground,Basket ball Court,Raccoon,Public,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,311-11813468,ACC,1,false,false,,,false,false,153838
09/18/2022 05:00:00 PM,09/18/2022 05:45:00 PM,Staten Island,Clove Lakes Park,Near Brooks Lake,Dog,Central,Domestic,N/A,1,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
09/19/2022 10:00:00 AM,09/19/2022 11:00:00 AM,Brooklyn,Maria Hernandez Park,Irving and Suydam Street,Dog,Public,Domestic,Unhealthy,2,Adult,Domestic,311-118-222-62,ACC,1,false,false,,,false,false,21486
09/19/2022 10:00:00 AM,09/19/2022 12:15:00 PM,Queens,Forest Park,Near Myrtle Ave,Raccoon,Employee,Native,Unhealthy,0.5,Juvenile,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
09/20/2022 09:30:00 AM,09/20/2022 09:35:00 AM,Bronx,Crotona Park,BETWEEN BATHGATE PLAYGROUND AND THE BALLFIELD,Bald-faced Hornet,Employee,Native,Healthy,1.25,Adult,"Rare,  Endangered,  Dangerous",31111836463,Relocated/Condition Corrected,1,false,false,,,false,false,
09/20/2022 10:00:00 AM,09/20/2022 01:00:00 PM,Manhattan,East River Esplanade,109 South St,Mourning Dove,Employee,Native,Injured,0.5,Adult,Birds,311-11839822,Rehabilitator,1,true,false,Wild Bird Fund,3,false,false,
09/20/2022 10:15:00 AM,09/20/2022 10:45:00 AM,Manhattan,Central Park,100th Street Pool,Mallard Duck,Public,Native,Injured,0.75,Adult,Birds,,Relocated/Condition Corrected,1,false,true,,0.25,false,false,
09/20/2022 11:00:00 AM,09/20/2022 11:15:00 AM,Brooklyn,Dyker Beach Park,Bay 8th Street Field 1,Eastern Gray Squirrel,Public,Native,Injured,2,Juvenile,Small Mammals-non RVS,311-11838464,Rehabilitator,1,false,true,Kris Bevilacqua WL License %231742,0.25,false,false,
09/20/2022 01:00:00 PM,09/20/2022 02:00:00 PM,Staten Island,Deere Park,perimeter along Petrides school,Eastern Gray Squirrel,Public,Native,Injured,2.25,Adult,Small Mammals-non RVS,311-11840666,ACC,1,false,false,,,false,false,153968
09/20/2022 04:00:00 PM,09/21/2022 10:00:00 AM,Manhattan,Central Park,Wagner Cove Boat Landing,Dog,Central,Domestic,Unhealthy,1,Juvenile,Domestic,,Monitored Animal,1,false,false,,,false,false,
09/20/2022 04:00:00 PM,09/20/2022 04:15:00 PM,Manhattan,Central Park,Wagner Cove Boat Landing,Dog,Public,Domestic,Unhealthy,1.5,Juvenile,Domestic,,Monitored Animal,1,false,true,,0.5,false,false,
09/21/2022 08:00:00 AM,09/21/2022 08:55:00 AM,Brooklyn,Prospect Park,Park Drive along Parkside Avenue,Raccoon,Central,Native,Injured,0.5,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
09/21/2022 11:00:00 AM,09/21/2022 11:05:00 AM,Staten Island,Blue Heron Park,Koch Street and Harold Street,Mourning Dove,Public,Native,Unhealthy,1.5,Adult,Birds,311-11849469,ACC,1,false,false,,,false,false,154036
09/21/2022 04:00:00 PM,09/21/2022 04:20:00 PM,Queens,Flushing Fields,Basketball Courts,Eastern Gray Squirrel,Central,Native,Healthy,1.5,Juvenile,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,true,,0.25,false,false,
09/22/2022 10:00:00 AM,09/22/2022 10:00:00 AM,Staten Island,Blue Heron Park,"Poillon Ave, in front of Blue Heron Park",Common Snapping Turtle,Observed by Ranger,Native,Healthy,1.5,Infant,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,10,false,false,,,false,false,
09/22/2022 05:22:00 PM,09/22/2022 05:47:00 PM,Manhattan,Central Park,East Drive and 87th ST,Raccoon,Public,Native,Healthy,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/22/2022 06:30:00 PM,09/22/2022 07:00:00 PM,Brooklyn,Msgr. McGolrick Park,Rock Garden,Eastern Gray Squirrel,Central,Native,DOA,1.5,Adult,Small Mammals-non RVS,311-11865047,Relocated/Condition Corrected,1,false,false,,,false,false,
09/23/2022 09:20:00 AM,09/23/2022 09:55:00 AM,Queens,Roy Wilkins Recreation Center,"By ballfields, off Merrick Blvd",Dog,Central,Domestic,Injured,1.25,Adult,Domestic,311-11869857,ACC,1,false,false,,,true,false,214707
09/23/2022 11:15:00 AM,09/23/2022 11:45:00 AM,Brooklyn,Kolbert Playground,on top of parkhouse,Eastern Gray Squirrel,Central,Native,Injured,3,Adult,Small Mammals-non RVS,311-11872743,ACC,1,false,false,,,false,false,154207
09/23/2022 05:20:00 PM,09/23/2022 05:30:00 PM,Manhattan,Central Park,bushes at the back of the MET,Dog,Employee,Domestic,Healthy,1,Adult,Domestic,,Monitored Animal,1,true,true,,0.5,false,false,
09/24/2022 12:00:00 AM,09/24/2022 02:00:00 PM,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Lot 6 off the Bike path,Rock Dove,Employee,Native,DOA,1.5,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/24/2022 12:00:00 AM,09/24/2022 01:30:00 PM,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,beach behind lot 6,Herring Gull,Employee,Native,Injured,0.5,Adult,Birds,,Monitored Animal,1,false,false,,,false,false,
09/24/2022 08:30:00 AM,09/24/2022 08:40:00 AM,Bronx,Concrete Plant Park,N/A,Raccoon,Employee,Native,Injured,1,Juvenile,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
09/24/2022 11:30:00 AM,09/24/2022 01:00:00 PM,Manhattan,Washington Square Park,Washington Square Park North inside Park,Nighthawk,Central,Native,Injured,2,Adult,Birds,311-11883338,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/24/2022 11:30:00 AM,09/24/2022 12:15:00 PM,Brooklyn,Prospect Park,"Prospect Park Garage, next to the Shops building, on a tree that is adjacent to the fence. Coordinates: (40.6656410, -73.9745884)",Raccoon,Public,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,,Monitored Animal,1,false,true,,1,false,false,
09/24/2022 01:35:00 PM,09/24/2022 01:35:00 PM,Bronx,Crotona Park,Adjacent Indian Lake,Cat,Observed by Ranger,Domestic,Healthy,1,Juvenile,Domestic,,ACC,1,false,false,,,false,false,214899
09/24/2022 03:30:00 PM,09/24/2022 04:00:00 PM,Queens,Hoover - Manton Playgrounds,"Behind The Swings 40.7111268, -73.8210316",Raccoon,Central,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,311-11885246,ACC,1,false,true,,1,false,false,154430
09/25/2022 12:00:00 AM,09/25/2022 12:00:00 PM,Bronx,Van Cortlandt Park,Van Cortlandt Park,Striped Skunk,Employee,Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,311-11895446,ACC,1,false,false,,,false,false,214998
09/25/2022 11:00:00 AM,09/25/2022 11:00:00 AM,Brooklyn,Prospect Park,"40.65923903281341, -73.98285609906715; stairs of prospect park SW and 7th St.",Raccoon,Public,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,311-11896339,ACC,1,false,false,,,false,false,154472
09/25/2022 12:15:00 PM,09/25/2022 12:45:00 PM,Brooklyn,Prospect Park,Prospect Lake,Great Blue Heron,Central,Native,Injured,1,Adult,Birds,311-11895576,Unfounded,0,false,false,,,false,false,
09/25/2022 02:35:00 PM,09/25/2022 03:00:00 PM,Brooklyn,Prospect Park,Lakeside along Parkside Ave,Raccoon,Public,Native,Unhealthy,0.75,Juvenile,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
09/25/2022 03:30:00 PM,09/25/2022 03:45:00 PM,Brooklyn,Prospect Park,"Parade grounds, baseball field %232",Canada Goose,Public,Native,Healthy,0.25,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/25/2022 03:30:00 PM,09/25/2022 04:00:00 PM,Brooklyn,Prospect Park,Near Ballfield %234 adjacent to Dog Beach,Red-tailed Hawk,Employee,Native,Injured,1,Adult,Raptors,,Unfounded,0,false,false,,,false,false,
09/25/2022 04:50:00 PM,09/25/2022 04:55:00 PM,Staten Island,Lemon Creek Park,lemon creek fishing pier,Fish (Unknown),Observed by Ranger,Native,Healthy,0.25,Juvenile,Fish-numerous quantity,,Relocated/Condition Corrected,6,false,false,,,false,false,
09/26/2022 09:10:00 AM,09/26/2022 09:30:00 AM,Bronx,Pelham Bay Park,Rodman's Neck (NYPD Shooting Range),Raccoon,Other,Domestic,DOA,2,Adult,Small Mammals-RVS,311-11902934,Relocated/Condition Corrected,1,false,false,,,false,false,
09/26/2022 09:15:00 AM,09/26/2022 09:30:00 AM,Manhattan,ABC Playground,In playground on safety surface,Snake (Unknown),Employee,N/A,N/A,1,Adult,Terrestrial Reptile or Amphibian,311-11902870,Unfounded,0,false,false,,,false,false,
09/26/2022 10:00:00 AM,09/26/2022 10:30:00 AM,Brooklyn,Owl's Head Park,Tree near 68th Street,Virginia Opossum,Central,Native,N/A,0.5,Adult,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
09/26/2022 02:30:00 PM,09/26/2022 02:45:00 PM,Brooklyn,Prospect Park,Bridge near Prospect Park Boathouse,Bird (Unknown),Central,N/A,N/A,0.5,Adult,Birds,,Unfounded,0,false,false,,,false,false,
09/26/2022 03:00:00 PM,09/26/2022 03:10:00 PM,Manhattan,Central Park,"Harlem Meer, South shore lawn",Canada Goose,WBF,Native,Unhealthy,0.5,Juvenile,Birds,,Monitored Animal,5,false,true,,0.25,false,false,
09/27/2022 09:00:00 AM,09/27/2022 09:00:00 AM,Queens,Forest Park,Forest Park Drive near Carousel,Striped Skunk,Observed by Ranger,Native,DOA,0.25,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/27/2022 10:45:00 AM,09/27/2022 11:00:00 AM,Brooklyn,Prospect Park,On the lawn across from The Peristyle,Raccoon,Public,Native,DOA,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/27/2022 11:25:00 AM,09/27/2022 11:45:00 AM,Manhattan,J. Hood Wright Park,173 Street and Ft. Washington Avenue,Budgerigar,Observed by Ranger,Domestic,Healthy,1,Adult,"Birds, Domestic",311-11915972,ACC,1,false,false,,,false,false,1546000
09/27/2022 11:35:00 AM,09/27/2022 11:45:00 AM,Bronx,Ferry Point Park,491 Hutchinson River Parkway,Dog,Employee,Domestic,Unhealthy,1.25,Adult,Domestic,311-11916061,ACC,1,false,false,,,false,false,215252
09/27/2022 02:30:00 PM,09/27/2022 02:35:00 PM,Bronx,St. Mary's Recreation Center,St. Mary's Playground South,Red-Eared Slider,Employee,Invasive,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,31111918295,Relocated/Condition Corrected,1,false,false,,,false,false,
09/27/2022 02:30:00 PM,09/27/2022 02:30:00 PM,Bronx,Van Cortlandt Park,Parade Ground,Dog,Employee,Domestic,N/A,0.5,Juvenile,Domestic,,Unfounded,0,false,false,,,false,false,
09/27/2022 03:00:00 PM,09/27/2022 03:15:00 PM,Brooklyn,Prospect Park,By the lake across from The Peristyle.,Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,311-11919059,ACC,1,false,false,,,false,false,154640
09/27/2022 04:00:00 PM,09/27/2022 04:20:00 PM,Staten Island,Reed's Basket Willow Swamp Park,"Chapin Woods entrance- in creek along orange trail 40.600639, -74.104449",Red Fox,Central,Native,Injured,3,Adult,Small Mammals-RVS,311-11915858,ACC,1,false,false,,,false,false,154652
09/28/2022 10:15:00 AM,09/28/2022 10:15:00 AM,Queens,Fort Totten Park,Attic of Fort Totten Visitors' Center,Northern Parula,Observed by Ranger,Native,Healthy,0.25,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/28/2022 04:00:00 PM,09/28/2022 04:30:00 PM,Manhattan,Central Park,"The Lake, west of the Loeb Boathouse",Raccoon,Public,Native,DOA,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/28/2022 04:15:00 PM,09/28/2022 04:15:00 PM,Queens,Captain Tilly Park,In shrubs surrounding Goose Pond by playground,Canada Goose,Observed by Ranger,Native,DOA,1,Adult,Birds,,Relocated/Condition Corrected,2,false,false,,,false,false,
09/28/2022 04:22:00 PM,09/28/2022 04:22:00 PM,Queens,Captain Tilly Park,By the benches near the comfort station in front of the pond.,Canada Goose,Observed by Ranger,Native,Unhealthy,1.5,Adult,Birds,,ACC,1,false,true,,0.25,false,false,154768
09/29/2022 08:25:00 AM,09/29/2022 08:25:00 AM,Manhattan,J. Hood Wright Park,By the flag pole near the 175th street entrance,Common Yellowthroat,Public,Native,Healthy,0.25,Adult,Birds,,Advised/Educated others,1,false,false,,,false,false,
09/29/2022 11:20:00 AM,09/29/2022 11:25:00 AM,Queens,Queensbridge Park,Base of bridge by comfort station,Dog,Public,Domestic,Healthy,2,Adult,Domestic,311-11938741,ACC,2,false,false,,,false,false,215513
09/29/2022 12:30:00 PM,09/29/2022 01:00:00 PM,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Midland Lot 6,Red-Eared Slider,Employee,Invasive,Injured,2,Adult,Terrestrial Reptile or Amphibian,3-11-11939205,ACC,1,false,false,,,false,false,154829
09/29/2022 01:00:00 PM,09/29/2022 01:00:00 PM,Bronx,Van Cortlandt Park,Van Cortlandt Nature Center,Red-eyed Vireo,Public,Native,Injured,1.5,Adult,Birds,,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/29/2022 02:45:00 PM,09/29/2022 02:45:00 PM,Brooklyn,Fort Greene Park,Fort Greene Visitor Center,Northern Parula,Public,Native,Injured,0.75,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
09/29/2022 06:00:00 PM,09/30/2022 10:00:00 AM,Manhattan,Central Park,East 75th and East Drive,Leopard Gecko,"Conservancies/""Friends of"" Groups",Exotic,Healthy,1.5,Adult,Terrestrial Reptile or Amphibian,311-11952997,ACC,2,false,false,,,false,false,"154976, 154977"
09/30/2022 10:07:00 AM,09/30/2022 10:45:00 AM,Manhattan,Central Park,On the corner of the West 81st Street entrance directly behind a knee-high fence,Eastern Gray Squirrel,Public,Native,Injured,0.25,Infant,Small Mammals-non RVS,311-11948820,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
09/30/2022 11:20:00 AM,09/30/2022 01:30:00 PM,Brooklyn,Prospect Park,Parkside and St. Paul's,Eastern Gray Squirrel,Central,Native,Injured,2,Adult,Small Mammals-non RVS,311-11948512,ACC,1,false,false,,,false,false,154958
09/30/2022 12:30:00 PM,09/30/2022 12:46:00 PM,Queens,Kissena Park,Kissena Lake,Red-Eared Slider,Employee,Invasive,Injured,1,Adult,Terrestrial Reptile or Amphibian,,Monitored Animal,1,false,false,,,false,false,
09/30/2022 02:00:00 PM,09/30/2022 02:00:00 PM,Bronx,Crotona Park,Crotona Park Nature Center,Cat,Public,Domestic,Healthy,1.5,Infant,Domestic,311-11951841,ACC,1,false,false,,,false,false,154941
09/30/2022 03:10:00 PM,09/30/2022 03:15:00 PM,Staten Island,Willowbrook Park,Ashworth Ave,Canada Goose,Public,Native,Unhealthy,2.5,Adult,Birds,311-11953075,Relocated/Condition Corrected,1,false,false,,,false,false,
10/01/2022 02:30:00 PM,10/01/2022 03:00:00 PM,Bronx,Gun Hill Playground,"735 Magenta Street, NYCHA property across street from playground",Raccoon,Public,Native,Healthy,1,Adult,Small Mammals-RVS,,Advised/Educated others,1,false,false,,,false,false,
10/02/2022 08:50:00 AM,10/02/2022 08:55:00 AM,Queens,Forest Park,Corner of Forest Park Dr and Woodhaven Blvd,Eastern Gray Squirrel,Employee,Native,Injured,0.25,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/02/2022 11:30:00 AM,10/02/2022 12:00:00 PM,Bronx,Ferry Point Park,Sampson and Balcom Streets,Cat,Employee,Domestic,N/A,0.5,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
10/02/2022 02:00:00 PM,10/02/2022 02:30:00 AM,Manhattan,Riverside Park,on Tiemann place and riverside drive parks tunnel,Bat (Unknown),Central,Native,N/A,0.5,Juvenile,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
10/02/2022 02:30:00 PM,10/02/2022 03:30:00 PM,Manhattan,Central Park,100th St & Central Park West,Fancy Rat,"Conservancies/""Friends of"" Groups",Domestic,Healthy,1,Adult,Domestic,311-11972276,ACC,5,false,false,,,false,false,"155090, 155091, 155092, 155093, 155094"
10/03/2022 12:00:00 PM,10/03/2022 12:00:00 PM,Brooklyn,Fort Greene Park,Lawn near center of park,Silver-Haired Bat,Public,Native,Injured,4,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/03/2022 01:15:00 PM,10/03/2022 02:11:00 PM,Queens,Rockaway Beach and Boardwalk,Beach 28th Street,Dog,Employee,Domestic,Healthy,1.75,Adult,Domestic,11984438,ACC,1,true,false,,,false,false,155162
10/03/2022 01:30:00 PM,10/03/2022 02:00:00 PM,Bronx,NY Botanical Garden,By atrium dome,Yellow-Bellied Sapsucker,Public,Native,Injured,1.5,Adult,Birds,311-11985164,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
10/04/2022 02:25:00 PM,10/04/2022 02:40:00 PM,Bronx,Bronx Park,Bronx Botanical Garden,Gray Catbird,Public,Native,Injured,2.5,Adult,Birds,311-12000586,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
10/05/2022 01:00:00 PM,10/05/2022 01:15:00 PM,Bronx,Wood Park,Inside Wood Park,Chicken,Central,Domestic,Healthy,1.25,Adult,Domestic,311-12009787,ACC,1,false,false,,,false,false,216258
10/06/2022 10:20:00 AM,10/06/2022 10:30:00 AM,Staten Island,Clove Lakes Park,water next to the basketball fields,Canada Goose,Employee,Native,Injured,1.75,Adult,Birds,,Relocated/Condition Corrected,1,true,false,,,false,false,
10/06/2022 10:45:00 AM,10/06/2022 12:15:00 PM,Manhattan,Central Park,Columbus Circle 59th Street,Little Brown Bat,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/06/2022 11:00:00 AM,10/06/2022 11:00:00 AM,Brooklyn,Msgr. McGolrick Park,Pavilion,Rock Dove,Public,Native,Injured,3,Adult,Birds,311-12009588,ACC,1,false,false,,,false,false,155341
10/06/2022 12:00:00 PM,10/06/2022 01:00:00 PM,Brooklyn,Prospect Park,Well House,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,5,Juvenile,Small Mammals-RVS,311-12024637,ACC,1,false,false,,,false,false,155451
10/06/2022 12:30:00 PM,10/06/2022 12:31:00 PM,Staten Island,Clove Lakes Park,near Stone House,Common Snapping Turtle,Public,Native,DOA,0.25,Infant,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/06/2022 02:00:00 PM,10/06/2022 03:00:00 PM,Brooklyn,Bushwick Inlet Park,Near the water,Red-Eared Slider,Employee,Invasive,Healthy,4,Adult,Terrestrial Reptile or Amphibian,311-12024659,ACC,1,false,false,,,false,false,155450
10/06/2022 03:30:00 PM,10/06/2022 03:30:00 PM,Queens,Fort Totten Park,Fort Totten Visitors' Center,Eastern Towhee,Observed by Ranger,Native,Healthy,0.25,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/07/2022 10:00:00 AM,10/07/2022 12:00:00 PM,Brooklyn,McCarren Park,Comfort Station,Bat (Unknown),Employee,Native,Healthy,3,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/07/2022 11:30:00 AM,10/07/2022 11:57:00 AM,Queens,Alley Pond Park,"Oakland Lake, by stream on path.",Common Snapping Turtle,Public,Native,Healthy,1,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,true,,0.25,false,false,
10/07/2022 11:40:00 AM,10/07/2022 12:30:00 PM,Manhattan,Highbridge Park,Harlem River Drive Southbound Lane under the Hamilton Bridge,Eastern Coyote,Employee,Native,DOA,1.5,Adult,Coyotes,311-12035711,Submitted for DEC Testing,1,true,false,,,false,false,
10/07/2022 03:20:00 PM,10/07/2022 03:20:00 PM,Staten Island,Blue Heron Park,Blue Heron Nature Center,Eastern Box Turtle,Public,Native,Healthy,0.25,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,false,,,false,false,
10/07/2022 05:00:00 PM,10/07/2022 05:00:00 PM,Manhattan,Central Park,Summer Stage parking lot,Eastern Cottontail,Central,Native,Unhealthy,1.5,Juvenile,Small Mammals-non RVS,31112036934,ACC,1,false,false,,,false,false,155547
10/08/2022 11:00:00 AM,10/08/2022 11:20:00 AM,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Midland Beach trailers,Virginia Opossum,Central,Native,Healthy,2.5,Juvenile,Small Mammals-non RVS,311-12045607,Relocated/Condition Corrected,1,false,false,,,false,false,
