Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
11/18/2018 11:45:00 AM,11/18/2018 11:50:00 AM,Brooklyn,Marine Park,"Under the bridge to Salt Marsh Nature Trail (40.6037317, -73.9289003)",Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1644145382,ACC,1,false,false,,,false,false,47549
11/18/2018 10:45:00 AM,11/18/2018 11:10:00 AM,Bronx,Taylor Playground,Inside of Playground,Red-Eared Slider,Employee,Invasive,Unhealthy,1.5,Adult,Terrestrial Reptile or Amphibian,1-1-1644145380,ACC,1,false,false,,,false,false,47542
11/17/2018 10:15:00 AM,11/17/2018 10:30:00 AM,Brooklyn,Marine Park,"Lenape Playground 40.6062944, -739271721",Raccoon,Central,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1646146762,ACC,1,false,false,,,false,false,47449
11/17/2018 09:15:00 AM,11/17/2018 09:30:00 AM,Brooklyn,Prospect Park,"South side of Lake across East Drive from Peristyle; 40.6536306, -73.9683764",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1641115831,ACC,1,false,false,,,false,false,47447 OR 47448 (see details)
11/17/2018 09:05:00 AM,11/17/2018 09:15:00 AM,Brooklyn,Prospect Park,"Peninsula by Wellhouse; 40.6562955, -73.9699099",Raccoon,Employee,Native,Unhealthy,0.5,Juvenile,Small Mammals-RVS,1-1-1641115831,ACC,1,false,false,,,false,false,47447 OR 47448 (see details)
11/16/2018 12:30:00 PM,11/16/2018 01:00:00 PM,Queens,Fort Totten Park,Playground Ninety,Chicken,Employee,Domestic,Healthy,3,Juvenile,Domestic,1-1-1644544150,ACC,1,true,false,,,false,false,59258
11/16/2018 10:45:00 AM,11/16/2018 10:45:00 AM,Queens,Forest Park,Visitor Center,Bat (Unknown),Employee,Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1641970575,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
11/15/2018 12:30:00 PM,11/15/2018 01:15:00 PM,Brooklyn,Prospect Park,Park Circle,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-11641970574,ACC,1,false,false,,,false,false,47347
11/15/2018 10:20:00 AM,11/15/2018 10:20:00 AM,Brooklyn,Owl's Head Park,"Top of the hill, behind the wall 40.640651, -74.033343",Raccoon,Public,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1644905307,ACC,1,false,false,,,false,false,47330
11/15/2018 11:00:00 AM,11/15/2018 11:00:00 AM,Manhattan,NYC Parking Garage,53rd St and 5th Ave,American Woodcock,Public,Native,Injured,0.25,Adult,Birds,,Advised/Educated others,1,false,false,,,false,false,
11/15/2018 09:45:00 AM,11/15/2018 09:50:00 AM,Brooklyn,Prospect Park,"Prospect Park Picnic House 40.665395, -73.972256",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1642034450,ACC,1,false,false,,,false,false,47323
